,Unnamed: 0,near_fid,near_x,near_y,near_angle,heard,building,xcoor,ycoor,noise,in_vehicle,asleep,no_windows,age,distance,distance_log,sin_angle,cos_angle
1233,2483,753,1745460.8953,8046707.43,78.672598471,1,1,1745076.0,8044786,0,0,0,0,56,1959.6013974430937,7.580496362890872,-0.8840549744918993,-0.4673829287384459
183,4802,3399,1459418.0053,7542488.0976,-21.690821777,1,0,1454546.0,7544426,0,0,0,0,70,5243.272008503343,8.564701011544045,0.9316648492455826,-0.3633188801592975
1559,1693,1308,1855801.665,7917881.7255,-29.995273263,1,0,1854812.0,7918453,0,0,0,0,66,1142.712285125025,7.04115991305753,0.0296945987730349,0.9995590181693668
2103,5224,3005,2378568.2352,9702387.0593,4.579188197,0,0,2351324.0,9700205,0,1,0,0,69,27331.47881878393,10.215794387183225,-0.4772776414584069,-0.8787525550255318
1797,5620,2735,1929712.1297,8959545.0338,-147.69471473,1,1,1929924.0,8959679,0,0,0,0,57,250.67103295848065,5.524141453847369,0.9402721025941948,-0.3404238139189027
4193,3378,3611,1567791.0917,7596240.2092,-80.772964147,1,0,1567674.0,7596961,0,0,0,0,54,730.2395795716395,6.593372671493514,0.989608534952518,0.1437878560558254
4235,464,21,2010378.9081,8259842.8661,-139.75516464,1,0,2010600.0,8260030,0,0,0,0,42,289.65621825672895,5.668694765486643,0.999473532290269,0.0324446952707603
5494,3517,543,1970999.3043,8366204.7267,57.663261607,1,1,1970864.0,8365991,0,0,0,0,78,252.9552448390186,5.533212575209755,-0.855130714153377,-0.5184124436310682
4081,332,412,1996694.7369,8226314.9776,-49.577341906,1,1,1996199.0,8226897,0,0,0,0,77,764.5293638071901,6.6392604337972205,0.4670517091907268,-0.8842300045474711
3382,2965,578,1975097.9765,8418622.2803,12.837477149,0,0,1940557.0,8410751,1,1,0,0,58,35426.48883441229,10.47521509146437,-0.8527151743771868,0.5223761397564823
1867,5137,552,1965566.1339,8358721.6962,132.7971824,1,1,1965664.0,8358616,0,0,0,0,25,144.0467293057112,4.97013775600176,-0.9563778804690792,0.2921324181761952
605,2305,680,1842356.0517,8261519.3237,10.780608118,1,1,1840637.0,8261192,0,0,0,0,24,1749.9370136819657,7.4673350740880915,-0.9815641134166756,0.1911331767447382
2543,4632,1197,1819982.5037,7691990.663,-26.576379365,1,0,1819638.0,7692163,0,0,0,0,79,385.2049336168878,5.953775487777795,0.461695533361887,-0.8870384627927261
18,1208,682,1838268.5113,8261067.6718,23.183638837,1,1,1837884.0,8260903,1,0,0,0,59,418.2890645746539,6.036172735564365,0.9143245198199536,0.4049823112878034
4507,3126,4069,1981871.0997,8270452.4742,-162.77354801,1,0,1982334.0,8270596,0,0,0,0,45,484.64042650794494,6.183407227329599,0.9890743885073672,0.1474172784946779
2126,1791,2717,1926943.1685,8953506.228,20.489246774,1,1,1926691.0,8953412,0,0,0,0,66,269.19856681681705,5.595449273896137,0.0675131184212772,-0.997718386540528
1284,2867,1519,1447003.6556,7479278.55,-9.3696418667,1,0,1446607.0,7479344,0,0,0,0,49,402.0191133656916,5.996499633174561,-0.7305071607063414,-0.6829050359726158
3672,2511,3688,1331433.764,7940057.1939,-72.027881799,1,0,1331343.0,7940337,0,0,0,0,19,294.15906801088727,5.68412066868125,-0.1742917957283858,0.9846940489013704
4107,5417,3519,1464447.0858,7434699.214,53.691147734,1,0,1464383.0,7434612,1,0,0,0,40,108.22786867339444,4.684238899545423,-0.9324069893818344,-0.3614100249742714
1253,5344,828,1669509.499,8081828.3127,13.400472579,1,0,1657831.0,8079046,0,0,0,0,65,12005.357256391082,9.39310826717892,0.5853804493285241,-0.8107587369519587
3130,603,524,1962231.2246,8367366.8157,52.040759495,1,0,1961963.0,8367023,0,0,0,0,25,436.066132154051,6.07779391109931,0.2533091631568804,0.9673853771174964
3565,978,265,2003936.8491,8259866.2416,-93.453464629,1,0,2003976.0,8260515,1,0,0,0,48,649.9386544443882,6.476877980657956,-0.2882419531740624,-0.9575576099798913
5608,2466,683,1838968.8222,8259724.46,66.748344402,1,0,1838612.0,8258894,0,0,0,0,79,903.8727200291067,6.8066885540514495,-0.9999458952230512,-0.0104022414205114
84,1964,2133,1244070.2277,8169668.0933,-97.049870702,0,0,1245251.0,8179216,0,0,0,0,63,9620.641640574477,9.171666240039915,-0.3082442510379695,0.9513072488434224
5230,2030,2108,1328892.4514,8043422.7682,-73.783491522,1,0,1328295.0,8045477,1,0,0,0,53,2139.349542149164,7.668257109546299,0.9779404682168148,0.2088837969395351
633,4527,1454,1445652.7935,7472073.8177,14.362225012,1,0,1442701.0,7471318,0,0,0,0,23,3047.0223599892306,8.021920117320855,0.7615269467264328,-0.6481332497330443
259,5131,2823,1641133.6043,9139084.0768,133.75510609,1,0,1642612.0,9137540,0,0,0,0,41,2137.7153716237517,7.667492954389489,-0.999485400428305,0.0320770062610389
3412,1936,2733,1918022.0247,8958021.756,37.164417202,0,0,1894738.0,8940371,1,0,0,0,70,29218.05937432725,10.282542268805091,0.858872238315386,0.5121898849558814
2850,1218,1962,1335131.2409,7902338.342,-26.938864703,1,0,1334760.0,7902527,0,0,0,0,73,416.42724069975367,6.031711754148968,0.3747474880482097,0.9271269169868585
1844,1807,1708,1362845.23,7782300.4821,-174.57782838,1,0,1363093.0,7782324,0,0,0,0,45,248.88363650596756,5.51698546396595,0.4697522661815843,-0.8827982829714078
5273,1712,1883,1335497.0367,7907635.5391,172.77137355,1,0,1335793.0,7907598,1,0,0,0,56,298.3344750035522,5.698215256426972,-0.990996108309922,0.1338906767276536
203,2783,646,1902770.8091,8108565.6095,38.530872479,1,0,1898906.0,8105488,0,0,0,0,67,4940.488803138235,8.505219553290628,-0.1927633189311106,-0.9812452817082296
2975,1972,112,2011894.0777,8248539.2459,30.290440361,1,0,2011642.0,8248392,0,0,0,0,48,291.9323926943412,5.676522243591946,0.9678913619520072,-0.2513688752783214
1708,3797,3955,2452587.0136,9777236.6959,94.447333861,1,0,2452679.0,9776054,0,0,0,0,22,1186.26771416204,7.07856728272058,0.3249048431276328,-0.9457467118167572
508,3786,1574,1465815.9817,7501259.5675,-93.404760107,1,1,1465831.0,7501512,1,0,0,0,21,252.8788571454716,5.532910548542008,-0.5633293909491709,-0.8262324111851557
1218,5541,1746,1288661.1421,8078673.4002,-16.797253225,1,0,1285575.0,8079605,1,0,0,0,41,3223.6859724161613,8.078280695785805,0.9562477849232132,0.2925579837048513
3016,1232,2658,1793479.3367,8816694.3618,-23.401707645,1,0,1792512.0,8817113,0,0,0,0,20,1054.0390095562243,6.960384739380578,-0.57907127855324,-0.8152769188163712
41,5547,137,2007433.1717,8243187.8209,10.927029549,0,0,2006538.0,8243015,0,0,0,0,68,911.7013962683792,6.815312520089497,-0.4425917513817756,0.8967232246400293
224,2095,302,2025801.1104,8248110.8501,61.156966754,1,1,2025506.0,8247575,0,0,0,0,42,611.7397141419879,6.416306888355498,0.8339631816808701,0.5518200898850276
